Date,State,District,Soil_Type,pH,EC,N,P,K,OC
25-09-2022,Manipur,Imphal,Loamy,8.2,1.85,198,49,207,1.25
10-05-2024,Mizoram,Aizawl,Loamy,6.4,0.06,197,17,330,0.88
25-02-2022,Madhya Pradesh,Bhopal,Black,6,0.15,206,35,194,0.62
24-01-2023,Odisha,Bhubaneswar,Red,6.5,0.76,104,26,161,0.54
25-09-2018,Chandigarh,Chandigarh,Loamy,7.1,0.76,206,20,349,1.28
09-11-2020,Nagaland,Kohima,Loamy,5.9,0.64,196,29,340,1.2
22-10-2018,Maharashtra,Pune,Black,7.6,0.58,148,27,180,0.82
23-03-2023,Ladakh,Leh,Sandy Loam,7.5,0.52,79,12,122,0.94
18-01-2019,Ladakh,Leh,Sandy Loam,7.1,0.34,62,20,140,0.77
31-07-2024,Punjab,Amritsar,Alluvial,6.5,0.56,154,26,275,1.09
31-12-2021,Odisha,Bhubaneswar,Laterite,5.1,0.43,116,25,153,0.82
14-02-2017,Gujarat,Vadodara,Black,7.6,0.92,197,22,328,1.06
04-02-2015,Bihar,Gaya,Alluvial,7.4,0.29,225,37,266,1.39
03-03-2021,Puducherry,Puducherry,Loamy,7.2,0.93,282,24,318,1.06
19-08-2023,Arunachal Pradesh,Itanagar,Loamy,6.4,0.11,245,28,205,0.83
09-05-2020,Chhattisgarh,Raipur,Loamy,6.2,0.54,118,43,352,1.27
05-05-2019,Jharkhand,Ranchi,Loamy,6.7,0.53,158,44,187,1.05
21-06-2024,Lakshadweep,Kavaratti,Loamy,6.1,0.42,134,41,286,1.24
01-06-2023,Madhya Pradesh,Bhopal,Red,8.1,2.25,200,32,256,1.05
18-10-2017,Chhattisgarh,Raipur,Loamy,6.3,0.66,152,33,303,1.3
23-06-2024,Jharkhand,Ranchi,Loamy,6.8,0.57,236,41,235,0.74
26-02-2022,Jharkhand,Ranchi,Loamy,5.6,0.22,232,33,231,0.88
03-02-2018,Uttarakhand,Dehradun,Loamy,5.8,0.45,171,36,303,1
10-07-2025,Rajasthan,Jodhpur,Desert,8.8,1.32,73,18,108,0.31
29-08-2025,Haryana,Hisar,Sandy,7,0.56,96,13,94,0.54
09-02-2019,Andhra Pradesh,Visakhapatnam,Alluvial,7.7,1.04,173,40,407,1.25
03-12-2016,West Bengal,Kolkata,Red,6,0.45,168,20,187,0.83
15-09-2021,Maharashtra,Nagpur,Red,6.9,0.77,102,18,185,0.65
09-08-2022,Rajasthan,Udaipur,Sandy,6.1,0.19,99,9,70,0.71
29-04-2019,Chandigarh,Chandigarh,Loamy,6.3,0.68,268,31,339,0.78
11-06-2015,Rajasthan,Jaipur,Sandy,6,0.28,87,15,144,0.34
21-07-2015,Himachal Pradesh,Mandi,Sandy Loam,6.6,0.28,106,21,119,0.41
04-06-2020,Mizoram,Aizawl,Loamy,6.9,0.91,149,23,229,0.99
22-09-2017,Chhattisgarh,Raipur,Loamy,7.2,0.63,151,23,251,1.08
06-05-2021,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,5.4,0.82,120,10,200,0.63
26-03-2017,Odisha,Bhubaneswar,Red,5.7,0.36,164,21,223,0.55
25-02-2024,Ladakh,Leh,Sandy Loam,6.4,0.04,68,23,81,0.55
31-03-2016,Delhi,New Delhi,Loamy,6.5,0.43,145,17,234,1.23
03-09-2024,Madhya Pradesh,Bhopal,Black,6.6,0.16,127,18,330,0.63
26-05-2025,Maharashtra,Mumbai,Red,5.8,0.03,188,28,215,0.55
29-06-2018,Delhi,New Delhi,Loamy,6.6,0.32,183,33,201,0.92
13-10-2017,Andaman and Nicobar Islands,Port Blair,Loamy,6.6,0.38,176,14,323,1.22
01-05-2025,Ladakh,Leh,Sandy Loam,5.6,1.36,111,11,129,0.24
01-06-2021,Jharkhand,Ranchi,Loamy,6.5,0.85,265,37,259,0.94
24-05-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,7.6,1.33,277,36,340,0.92
30-07-2022,Goa,North Goa,Loamy,7,1.35,134,33,279,1.21
17-06-2025,Andhra Pradesh,Visakhapatnam,Black,6.8,0.28,106,15,331,0.63
04-12-2015,Gujarat,Vadodara,Black,7.3,0.55,233,34,269,0.61
28-05-2017,Uttarakhand,Dehradun,Loamy,7.1,0.52,231,17,314,0.9
12-12-2017,Rajasthan,Jaipur,Desert,7.6,0.34,54,8,70,0.58
02-03-2017,West Bengal,Howrah,Red,5.9,0.77,141,31,233,0.7
14-03-2021,Meghalaya,Shillong,Loamy,6.4,0.09,205,15,233,0.79
02-02-2017,Tamil Nadu,Chennai,Red,6.5,0.44,90,25,225,0.94
13-02-2021,Punjab,Amritsar,Alluvial,7.9,1.74,274,30,255,0.96
15-01-2016,Tripura,Agartala,Loamy,7.2,0.49,236,36,216,0.73
07-05-2016,West Bengal,Kolkata,Red,6,0.35,198,16,230,0.61
10-07-2023,Chhattisgarh,Raipur,Loamy,6.7,1.02,130,30,328,0.87
26-03-2018,Rajasthan,Udaipur,Sandy,7.1,0.71,135,19,137,0.61
24-08-2020,Nagaland,Kohima,Loamy,6.7,0.88,154,37,312,1.14
20-08-2025,Goa,North Goa,Loamy,5.9,0.26,260,27,241,0.99
06-03-2015,Andaman and Nicobar Islands,Port Blair,Loamy,6.5,0.41,159,42,276,0.99
15-09-2025,Odisha,Bhubaneswar,Red,6.1,0.41,91,25,182,0.46
12-01-2022,Delhi,New Delhi,Loamy,6.7,0.31,204,35,258,1.21
29-09-2018,Andhra Pradesh,Guntur,Black,7.1,0.02,240,14,139,0.77
26-02-2018,Assam,Kamrup,Laterite,6.2,0.75,94,25,194,0.89
20-07-2020,Rajasthan,Jaipur,Desert,8.3,0.93,63,13,109,0.48
19-05-2022,Jammu and Kashmir,Srinagar,Loamy,6.4,0.43,132,28,255,0.91
04-02-2019,Assam,Tinsukia,Alluvial,7.5,0.7,162,23,214,1.11
01-08-2023,Tripura,Agartala,Loamy,6.1,0.07,154,29,289,0.91
08-03-2018,Punjab,Amritsar,Alluvial,6.7,0.77,299,34,282,1.14
03-03-2019,Puducherry,Puducherry,Loamy,6.4,0.4,195,15,253,0.77
25-03-2022,Rajasthan,Jaipur,Desert,6.5,0.2,108,4,72,0.26
27-01-2016,Tamil Nadu,Madurai,Red,5.6,0.26,92,10,209,0.77
26-08-2019,Goa,North Goa,Loamy,6.5,0.42,198,28,248,0.99
23-02-2016,Madhya Pradesh,Bhopal,Red,6.6,0.58,132,18,184,0.69
25-05-2021,Tamil Nadu,Chennai,Alluvial,7.5,0.79,287,42,398,1.26
14-01-2016,Himachal Pradesh,Mandi,Sandy Loam,7.3,0.28,81,17,142,0.56
02-12-2019,Mizoram,Aizawl,Loamy,6.6,0.54,261,23,234,0.9
01-10-2024,Arunachal Pradesh,Itanagar,Loamy,6.2,0.28,253,39,169,1.22
28-03-2021,Odisha,Bhubaneswar,Red,6.3,0.33,125,20,146,0.76
24-05-2023,Odisha,Bhubaneswar,Laterite,5.6,0.39,133,20,135,0.55
19-09-2020,Gujarat,Rajkot,Black,7.3,0.28,113,26,242,0.6
27-06-2023,Punjab,Patiala,Alluvial,8.1,1.31,289,35,409,0.95
22-12-2020,Himachal Pradesh,Kangra,Sandy Loam,6.9,0.55,87,22,143,0.43
20-07-2015,Mizoram,Aizawl,Loamy,6.2,0.8,264,24,277,0.89
07-02-2020,Uttarakhand,Dehradun,Loamy,8.2,2,190,45,294,1.06
18-02-2017,Arunachal Pradesh,Itanagar,Loamy,6.6,0.64,162,25,348,1.11
25-02-2023,Ladakh,Leh,Sandy Loam,7.7,0.79,120,27,117,0.54
02-07-2023,Odisha,Bhubaneswar,Laterite,3.3,1.39,160,9,134,0.74
17-07-2023,Mizoram,Aizawl,Loamy,7,0.51,147,18,186,0.9
17-05-2016,Chhattisgarh,Raipur,Loamy,5.9,0.42,162,38,179,1.19
20-09-2021,Nagaland,Kohima,Loamy,6.8,0.31,234,41,211,1.26
24-12-2024,Gujarat,Rajkot,Black,7.6,1.3,205,34,304,0.72
18-10-2019,Mizoram,Aizawl,Loamy,6.8,0.88,165,22,212,0.96
15-03-2017,Ladakh,Leh,Sandy Loam,7.1,0.26,132,10,133,0.65
16-11-2020,Bihar,Gaya,Alluvial,7.5,0.64,236,45,231,0.81
24-06-2022,Tripura,Agartala,Loamy,5.7,0.24,159,32,336,0.85
10-03-2020,Chhattisgarh,Raipur,Loamy,6.4,0.5,142,18,199,0.97
05-08-2022,Chandigarh,Chandigarh,Loamy,7.9,1.51,213,22,324,1
20-04-2019,Kerala,Ernakulam,Laterite,4.7,0.13,103,11,176,0.91
18-08-2017,Bihar,Purnia,Alluvial,6.6,0.4,157,37,386,0.96
07-06-2025,Telangana,Nizamabad,Black,6.3,0.49,127,27,171,0.91
14-04-2022,Andaman and Nicobar Islands,Port Blair,Loamy,6.4,0.25,173,18,188,1
25-01-2019,Himachal Pradesh,Mandi,Loamy,7.5,1.01,193,33,236,0.83
14-05-2022,Bihar,Gaya,Alluvial,4.8,1.22,221,28,186,1.3
07-07-2025,Telangana,Warangal,Red,5.1,0.76,116,13,150,0.38
25-10-2017,Maharashtra,Mumbai,Red,5.8,0.37,170,16,196,0.83
03-01-2024,Chhattisgarh,Raipur,Loamy,6.6,0.97,211,42,323,1.25
17-05-2016,Nagaland,Kohima,Loamy,7.1,0.52,256,25,241,1.24
15-09-2022,Odisha,Bhubaneswar,Red,5.5,0.01,102,26,174,0.8
02-02-2016,Kerala,Thrissur,Laterite,6.3,0.55,75,15,133,0.59
20-05-2017,Nagaland,Kohima,Loamy,6.7,0.21,174,34,263,1.13
13-10-2022,Mizoram,Aizawl,Loamy,5.8,0.37,135,21,228,1.17
28-01-2016,Chandigarh,Chandigarh,Loamy,7,0.86,217,23,240,0.9
26-07-2015,Telangana,Hyderabad,Black,7.2,0.53,122,16,194,0.66
04-11-2017,Karnataka,Bangalore,Black,7.3,0.13,206,23,160,1.06
25-02-2020,Jammu and Kashmir,Srinagar,Loamy,6.3,0.42,145,34,293,0.8
04-12-2024,Tamil Nadu,Chennai,Red,6,1.03,122,16,185,0.99
18-01-2023,Mizoram,Aizawl,Loamy,5.5,0.65,142,12,316,0.96
24-01-2019,Andhra Pradesh,Chittoor,Alluvial,7.4,1.24,269,47,398,1.17
20-04-2025,Manipur,Imphal,Loamy,7.4,1.53,197,24,283,1.21
25-12-2024,Lakshadweep,Kavaratti,Loamy,5.7,0.7,134,21,297,0.82
13-05-2017,Himachal Pradesh,Kangra,Sandy Loam,6.5,0.43,69,17,93,0.43
22-08-2022,Manipur,Imphal,Loamy,8,1.9,247,44,338,1.08
26-01-2024,West Bengal,Kolkata,Alluvial,7.6,1.55,302,31,401,0.94
17-07-2016,Telangana,Hyderabad,Black,7.1,0.66,196,19,330,1.12
17-10-2017,Jammu and Kashmir,Srinagar,Loamy,7,0.6,199,35,280,1.04
06-04-2015,Sikkim,Gangtok,Loamy,6.4,0.53,132,26,305,1.27
07-04-2020,Uttarakhand,Dehradun,Loamy,6.8,0.42,232,17,232,1.1
24-10-2019,Odisha,Bhubaneswar,Laterite,5.7,0.43,164,16,92,0.56
07-12-2021,Kerala,Ernakulam,Laterite,5.7,0.1,154,10,131,0.8
10-07-2024,Punjab,Amritsar,Alluvial,6.5,0.06,284,24,289,1.37
28-03-2021,Andhra Pradesh,Krishna,Alluvial,6.8,0.7,223,40,257,1.05
28-08-2022,Rajasthan,Jodhpur,Desert,6.7,0.52,85,8,51,0.22
06-08-2019,Andhra Pradesh,Krishna,Alluvial,7.2,1.25,304,25,220,0.96
17-11-2023,Jharkhand,Ranchi,Loamy,6.3,0.2,258,15,234,0.79
24-06-2016,Lakshadweep,Kavaratti,Loamy,7.1,0.81,200,22,215,0.84
25-11-2017,Sikkim,Gangtok,Loamy,7,0.42,129,34,298,1.11
16-01-2022,Nagaland,Kohima,Loamy,7.5,1.18,256,48,207,1.02
29-03-2018,Lakshadweep,Kavaratti,Loamy,6.4,0.22,257,23,318,1.09
15-09-2025,Uttarakhand,Dehradun,Loamy,5,0.94,146,19,305,0.79
19-09-2019,West Bengal,Howrah,Alluvial,7.3,0.62,269,50,251,1.42
28-01-2024,Nagaland,Kohima,Loamy,7.8,1.56,167,22,297,1.4
24-08-2023,Andaman and Nicobar Islands,Port Blair,Loamy,7.2,0.82,256,40,238,0.74
25-12-2019,Nagaland,Kohima,Loamy,6.1,0.49,268,37,285,0.83
10-03-2022,Haryana,Faridabad,Sandy,7.1,0.78,137,14,145,0.55
22-06-2022,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.2,0.25,128,42,276,0.97
17-02-2022,Puducherry,Puducherry,Loamy,7.7,1.43,211,46,206,0.84
17-05-2019,Gujarat,Ahmedabad,Sandy,5.8,0.45,84,14,96,0.73
19-05-2023,Ladakh,Leh,Sandy Loam,8,1.12,95,18,181,0.5
17-05-2022,Nagaland,Kohima,Loamy,7,0.61,157,42,345,0.87
06-03-2017,Himachal Pradesh,Shimla,Sandy Loam,6.6,0.4,137,22,126,0.85
17-11-2017,Himachal Pradesh,Shimla,Sandy Loam,6.8,0.13,144,8,159,0.53
02-07-2019,Haryana,Faridabad,Sandy,6.5,0.07,109,15,83,0.39
06-12-2024,Jammu and Kashmir,Srinagar,Loamy,7.5,1.56,176,49,267,0.82
25-09-2018,Nagaland,Kohima,Loamy,7,0.69,141,45,290,1
05-08-2025,Chhattisgarh,Raipur,Loamy,7.1,1.27,148,42,304,1.15
04-06-2020,Maharashtra,Mumbai,Black,6.7,0.57,214,23,308,0.8
16-09-2018,West Bengal,Darjeeling,Red,6.9,0.48,134,12,234,0.76
22-07-2019,Chandigarh,Chandigarh,Loamy,6.5,0.38,272,31,231,0.91
10-03-2019,Bihar,Patna,Alluvial,7.7,0.98,222,46,290,1
31-07-2020,Punjab,Amritsar,Alluvial,6.7,0.38,191,46,212,1.26
12-05-2024,Tripura,Agartala,Loamy,6,0.51,138,28,323,0.97
05-02-2019,West Bengal,Darjeeling,Alluvial,6.9,0.83,240,47,268,1.4
16-01-2024,Kerala,Kozhikode,Laterite,3.9,1.25,123,6,159,0.63
15-02-2021,Arunachal Pradesh,Itanagar,Loamy,7.5,0.67,178,17,236,1.25
10-01-2024,Maharashtra,Nashik,Black,6.6,0.49,225,30,296,0.8
09-11-2018,Sikkim,Gangtok,Loamy,7,0.5,186,27,342,1.03
01-11-2018,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.1,0.46,215,29,288,0.8
30-07-2018,Tamil Nadu,Coimbatore,Alluvial,7.7,1.27,289,32,291,1.42
04-05-2022,Punjab,Patiala,Alluvial,8.2,1.3,235,25,230,0.88
29-04-2022,Bihar,Patna,Alluvial,8.9,2,236,53,353,1.38
30-08-2017,Manipur,Imphal,Loamy,6.4,0.5,152,24,234,1.12
04-11-2019,Telangana,Warangal,Black,6.6,0.5,112,18,248,1.13
06-07-2018,Tripura,Agartala,Loamy,7.2,1.01,148,33,257,1.01
23-05-2024,Andhra Pradesh,Krishna,Black,8.2,1.4,164,22,366,0.77
10-12-2016,Gujarat,Surat,Sandy,6.5,0.2,89,7,71,0.33
19-01-2019,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.4,0.58,213,33,214,0.89
05-12-2018,Kerala,Kozhikode,Red,6.6,0.34,121,25,217,0.54
10-10-2016,Chhattisgarh,Raipur,Loamy,7.3,0.46,132,33,312,1.29
14-11-2015,Kerala,Kozhikode,Laterite,5.9,0.32,118,17,88,0.74
06-04-2025,Nagaland,Kohima,Loamy,6.4,0.59,223,20,216,0.84
10-01-2024,Arunachal Pradesh,Itanagar,Loamy,7.7,1.08,222,30,245,1.29
26-08-2025,Jharkhand,Ranchi,Loamy,6.1,0.49,156,33,183,1.06
11-06-2018,Manipur,Imphal,Loamy,7.1,0.74,269,30,223,1.04
14-11-2016,Chandigarh,Chandigarh,Loamy,6.5,0.42,188,35,193,0.9
25-10-2016,Mizoram,Aizawl,Loamy,7.1,0.26,214,38,321,0.72
21-06-2020,Bihar,Gaya,Alluvial,7.4,0.84,235,35,211,1.2
03-09-2025,Gujarat,Ahmedabad,Sandy,7.8,1.79,74,14,92,0.46
07-06-2024,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.2,0.27,213,30,294,0.86
01-04-2025,Puducherry,Puducherry,Loamy,5.4,1.03,108,26,321,0.92
20-06-2019,Goa,North Goa,Loamy,6.5,0.22,195,34,320,0.79
04-02-2019,Puducherry,Puducherry,Loamy,6.1,0.28,171,24,326,0.96
18-01-2024,Manipur,Imphal,Loamy,6,0.12,192,32,183,0.75
21-04-2025,Maharashtra,Nashik,Black,7.6,0.74,226,22,340,1
10-02-2018,Goa,North Goa,Loamy,5.7,0.12,115,16,314,1.01
28-01-2020,Lakshadweep,Kavaratti,Loamy,7.1,0.62,184,19,233,1.29
01-03-2019,Assam,Kamrup,Alluvial,5.7,0.43,216,42,303,1.19
25-10-2021,Assam,Tinsukia,Laterite,6.2,0.37,172,23,174,0.82
17-07-2016,Sikkim,Gangtok,Loamy,7,0.59,141,27,355,0.91
15-07-2018,Sikkim,Gangtok,Loamy,5.7,0,147,38,184,0.84
21-10-2024,Jharkhand,Ranchi,Loamy,4.8,0.56,207,28,223,0.7
14-08-2025,Assam,Cachar,Laterite,6.1,1.24,106,17,185,0.85
19-06-2024,Kerala,Thrissur,Laterite,5.9,0.87,182,25,196,0.78
20-06-2024,Andaman and Nicobar Islands,Port Blair,Loamy,4.8,0.8,202,17,307,0.66
20-09-2023,Mizoram,Aizawl,Loamy,7.6,1.53,196,22,252,1.06
25-06-2019,Gujarat,Surat,Black,7.9,1.71,187,28,338,1.04
13-02-2025,Madhya Pradesh,Bhopal,Black,5.6,0.5,213,33,261,0.69
19-03-2023,Arunachal Pradesh,Itanagar,Loamy,7.9,1.36,268,29,268,1.32
19-08-2023,Bihar,Patna,Alluvial,6.1,0.21,256,28,286,1.33
29-11-2016,Jharkhand,Ranchi,Loamy,6.4,0.4,134,36,196,0.93
30-11-2020,Telangana,Warangal,Red,6.7,0.61,183,18,247,0.54
02-01-2015,Mizoram,Aizawl,Loamy,7.2,0.55,272,30,265,0.97
03-10-2016,Goa,North Goa,Loamy,6.5,0.64,193,16,228,0.84
17-03-2021,Odisha,Bhubaneswar,Laterite,6.3,0.75,142,26,121,0.61
09-05-2019,Chhattisgarh,Raipur,Loamy,6.9,0.94,267,34,241,1.19
04-05-2017,Lakshadweep,Kavaratti,Loamy,6.4,0.51,252,31,243,0.73
26-10-2019,Jharkhand,Ranchi,Loamy,6.6,0.68,178,22,348,1.19
10-01-2024,Himachal Pradesh,Mandi,Loamy,5.3,0.49,210,14,315,1.21
29-08-2021,Uttarakhand,Dehradun,Loamy,6.7,0.74,236,44,345,0.76
06-07-2024,Madhya Pradesh,Bhopal,Black,7.9,0.85,180,37,203,1.17
20-07-2019,Odisha,Bhubaneswar,Red,5.3,0.32,151,15,203,0.84
27-02-2018,Rajasthan,Jaipur,Desert,7.6,0.23,81,14,39,0.31
12-12-2017,Telangana,Warangal,Black,7.3,0.53,237,32,248,1.1
04-09-2019,Bihar,Gaya,Alluvial,6.8,1.26,179,45,313,1.1
09-08-2022,Telangana,Hyderabad,Black,5.9,0.81,226,10,298,0.78
23-08-2019,Jammu and Kashmir,Srinagar,Loamy,6.6,0.16,208,42,327,0.96
30-09-2019,Assam,Kamrup,Laterite,6.8,0.84,97,18,127,0.71
10-12-2018,Bihar,Patna,Alluvial,6.2,0.87,196,51,394,1.47
13-04-2021,Jammu and Kashmir,Srinagar,Loamy,7.9,1.3,214,26,244,1.16
15-04-2017,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.6,0.49,261,35,229,0.96
11-08-2024,Tripura,Agartala,Loamy,7.2,1.42,154,21,351,1.3
22-07-2015,Madhya Pradesh,Bhopal,Black,7.4,0.64,110,30,153,0.79
30-11-2023,Bihar,Gaya,Alluvial,8.3,1.25,300,32,280,1.33
03-05-2015,Maharashtra,Mumbai,Red,6.6,0.22,191,14,233,0.64
05-02-2016,Madhya Pradesh,Bhopal,Red,6.7,0.7,103,29,140,0.56
05-02-2017,Uttarakhand,Dehradun,Loamy,7,0.38,208,36,335,1.26
21-10-2015,Goa,North Goa,Loamy,6.9,0.63,189,18,308,1.3
16-05-2021,Mizoram,Aizawl,Loamy,8.3,2.12,224,29,379,1.26
13-09-2025,Ladakh,Leh,Sandy Loam,6.4,0.15,151,23,113,0.41
10-01-2023,Jammu and Kashmir,Srinagar,Loamy,7.7,1.61,133,23,264,0.89
29-01-2025,Mizoram,Aizawl,Loamy,7.9,2.44,269,47,363,1.28
17-07-2015,Arunachal Pradesh,Itanagar,Loamy,7.2,0.39,154,24,356,1.29
18-04-2023,Madhya Pradesh,Bhopal,Red,7.3,1.26,150,33,219,1.04
14-04-2020,Arunachal Pradesh,Itanagar,Loamy,6.5,0.19,266,27,335,0.85
22-10-2024,West Bengal,Kolkata,Red,5.3,0.68,144,14,223,0.7
31-08-2022,Uttar Pradesh,Varanasi,Sandy,6.5,0.5,63,20,84,0.45
31-12-2020,Sikkim,Gangtok,Loamy,7,0.6,142,38,342,0.74
31-08-2016,Assam,Kamrup,Laterite,6,0.42,147,11,172,0.52
17-12-2023,Jammu and Kashmir,Srinagar,Loamy,7.6,1.4,262,30,282,1.06
21-02-2018,Kerala,Kozhikode,Laterite,6.2,0.2,91,18,193,0.53
06-07-2015,Telangana,Hyderabad,Black,6.6,0.39,196,25,315,0.64
20-04-2024,Chhattisgarh,Raipur,Loamy,6.2,0.08,134,41,230,1.07
