Date,Crop,State,District,Market,Modal_Price,Min_Price,Max_Price,Arrivals,Unit
2021-05-13,Oilseeds,Rajasthan,Jaipur,Jaipur Wholesale,3494.0,2865.0,3918.0,3609.0,INR/Quintal
2018-03-30,Wheat,Punjab,Patiala,Patiala Wholesale,2109.0,1730.0,2365.0,2628.0,INR/Quintal
2016-04-04,Coffee,Tamil Nadu,Chennai,Chennai Wholesale,9816.0,8050.0,11008.0,4239.0,INR/Quintal
2024-04-08,Rice,Assam,Kamrup,Kamrup Wholesale,2530.0,2075.0,2837.0,4865.0,INR/Quintal
2015-01-22,Sugarcane,Uttar Pradesh,Lucknow,Lucknow Wholesale,399.0,327.0,447.0,5808.0,INR/Quintal
2021-04-19,Coffee,Karnataka,Hubli,Hubli Wholesale,18131.0,14869.0,20332.0,3437.0,INR/Quintal
2017-01-17,Rice,Punjab,Amritsar,Amritsar Wholesale,2471.0,2026.0,2771.0,6423.0,INR/Quintal
2022-12-14,Apple,Himachal Pradesh,Shimla,Shimla Wholesale,4435.0,3637.0,4973.0,2105.0,INR/Quintal
2024-12-11,Apple,Himachal Pradesh,Shimla,Shimla Wholesale,10310.0,8455.0,11562.0,1579.0,INR/Quintal
2016-04-19,Potato,Uttar Pradesh,Varanasi,Varanasi Wholesale,1966.0,1612.0,2205.0,8359.0,INR/Quintal
2017-12-18,Maize,Telangana,Hyderabad,Hyderabad Wholesale,1927.0,1580.0,2161.0,2534.0,INR/Quintal
2022-01-02,Coffee,Kerala,Ernakulam,Ernakulam Wholesale,22478.0,18434.0,25207.0,3896.0,INR/Quintal
2025-04-11,Cotton,Maharashtra,Pune,Pune Wholesale,5713.0,4685.0,6407.0,7835.0,INR/Quintal
2020-08-09,Sugarcane,Maharashtra,Nagpur,Nagpur Wholesale,483.0,396.0,542.0,2652.0,INR/Quintal
2024-09-17,Coffee,Kerala,Ernakulam,Ernakulam Wholesale,11976.0,9821.0,13430.0,1805.0,INR/Quintal
2022-07-10,Rice,Andhra Pradesh,Krishna,Krishna Wholesale,2197.0,1802.0,2464.0,3307.0,INR/Quintal
2017-09-02,Cotton,Maharashtra,Mumbai,Mumbai Wholesale,5270.0,4322.0,5910.0,3655.0,INR/Quintal
2019-12-12,Sugarcane,Tamil Nadu,Madurai,Madurai Wholesale,434.0,356.0,487.0,4624.0,INR/Quintal
2015-07-09,Cotton,Telangana,Hyderabad,Hyderabad Wholesale,4905.0,4022.0,5500.0,476.0,INR/Quintal
2023-03-25,Pulses,Uttar Pradesh,Kanpur,Kanpur Wholesale,6091.0,4995.0,6830.0,7410.0,INR/Quintal
2022-06-27,Rice,Tamil Nadu,Chennai,Chennai Wholesale,2099.0,1721.0,2354.0,4430.0,INR/Quintal
2023-03-25,Apple,Jammu and Kashmir,Srinagar,Srinagar Wholesale,9057.0,7427.0,10157.0,1899.0,INR/Quintal
2016-07-16,Tea,West Bengal,Howrah,Howrah Wholesale,14015.0,11493.0,15716.0,3470.0,INR/Quintal
2020-03-14,Pulses,Rajasthan,Jodhpur,Jodhpur Wholesale,4193.0,3439.0,4702.0,625.0,INR/Quintal
2024-12-17,Sugarcane,Maharashtra,Nashik,Nashik Wholesale,445.0,365.0,499.0,3236.0,INR/Quintal
2018-06-21,Sugarcane,Maharashtra,Nashik,Nashik Wholesale,466.0,382.0,523.0,5436.0,INR/Quintal
2022-11-19,Wheat,Rajasthan,Jodhpur,Jodhpur Wholesale,2283.0,1872.0,2560.0,2798.0,INR/Quintal
2019-03-09,Rice,Odisha,Bhubaneswar,Bhubaneswar Wholesale,2320.0,1903.0,2602.0,1793.0,INR/Quintal
2023-10-08,Potato,Punjab,Amritsar,Amritsar Wholesale,1827.0,1498.0,2049.0,3449.0,INR/Quintal
2024-09-26,Potato,West Bengal,Kolkata,Kolkata Wholesale,1298.0,1064.0,1456.0,3172.0,INR/Quintal
2025-08-26,Sugarcane,Uttar Pradesh,Kanpur,Kanpur Wholesale,447.0,367.0,501.0,4314.0,INR/Quintal
2016-10-08,Potato,Uttar Pradesh,Kanpur,Kanpur Wholesale,1249.0,1024.0,1401.0,3647.0,INR/Quintal
2020-08-30,Maize,Bihar,Gaya,Gaya Wholesale,1627.0,1334.0,1825.0,432.0,INR/Quintal
2022-11-28,Apple,Jammu and Kashmir,Srinagar,Srinagar Wholesale,5349.0,4387.0,5998.0,1278.0,INR/Quintal
2021-01-23,Wheat,Haryana,Hisar,Hisar Wholesale,1843.0,1511.0,2067.0,6407.0,INR/Quintal
2018-07-21,Sugarcane,Uttar Pradesh,Varanasi,Varanasi Wholesale,377.0,309.0,423.0,4785.0,INR/Quintal
2021-09-01,Potato,Punjab,Ludhiana,Ludhiana Wholesale,1158.0,950.0,1299.0,4143.0,INR/Quintal
2016-08-23,Rice,Andhra Pradesh,Chittoor,Chittoor Wholesale,3011.0,2469.0,3377.0,2166.0,INR/Quintal
2021-06-21,Coconut,Kerala,Thrissur,Thrissur Wholesale,2572.0,2109.0,2884.0,3978.0,INR/Quintal
2020-08-23,Coffee,Karnataka,Belgaum,Belgaum Wholesale,22072.0,18101.0,24752.0,3231.0,INR/Quintal
2015-08-30,Tea,West Bengal,Darjeeling,Darjeeling Wholesale,6545.0,5367.0,7340.0,2527.0,INR/Quintal
2020-08-03,Apple,Jammu and Kashmir,Srinagar,Srinagar Wholesale,4063.0,3332.0,4556.0,1393.0,INR/Quintal
2022-09-25,Pulses,Uttar Pradesh,Lucknow,Lucknow Wholesale,6587.0,5402.0,7387.0,4816.0,INR/Quintal
2024-05-10,Coconut,Andhra Pradesh,Visakhapatnam,Visakhapatnam Wholesale,2854.0,2341.0,3200.0,5748.0,INR/Quintal
2022-02-25,Pulses,Madhya Pradesh,Bhopal,Bhopal Wholesale,4323.0,3545.0,4848.0,3060.0,INR/Quintal
2023-01-24,Maize,Karnataka,Hubli,Hubli Wholesale,1990.0,1632.0,2232.0,3633.0,INR/Quintal
2018-09-25,Cotton,Gujarat,Rajkot,Rajkot Wholesale,6121.0,5020.0,6864.0,1663.0,INR/Quintal
2020-11-09,Rice,Telangana,Hyderabad,Hyderabad Wholesale,3090.0,2534.0,3465.0,1246.0,INR/Quintal
2018-10-22,Cotton,Gujarat,Ahmedabad,Ahmedabad Wholesale,4558.0,3738.0,5111.0,2492.0,INR/Quintal
2023-03-23,Wheat,Uttar Pradesh,Kanpur,Kanpur Wholesale,2600.0,2132.0,2916.0,6045.0,INR/Quintal
2019-01-18,Tea,West Bengal,Darjeeling,Darjeeling Wholesale,16357.0,13414.0,18343.0,2024.0,INR/Quintal
2024-07-31,Wheat,Rajasthan,Udaipur,Udaipur Wholesale,3147.0,2581.0,3529.0,2768.0,INR/Quintal
2021-12-31,Sugarcane,Karnataka,Belgaum,Belgaum Wholesale,497.0,408.0,557.0,3309.0,INR/Quintal
2017-02-14,Coconut,Karnataka,Bangalore,Bangalore Wholesale,1646.0,1350.0,1846.0,3976.0,INR/Quintal
2015-02-04,Rice,Bihar,Patna,Patna Wholesale,2419.0,1984.0,2713.0,3100.0,INR/Quintal
2021-03-03,Coconut,Kerala,Kozhikode,Kozhikode Wholesale,2981.0,2445.0,3343.0,792.0,INR/Quintal
2023-08-19,Sugarcane,Uttar Pradesh,Lucknow,Lucknow Wholesale,508.0,417.0,570.0,4964.0,INR/Quintal
2020-05-09,Oilseeds,Maharashtra,Nagpur,Nagpur Wholesale,5129.0,4206.0,5752.0,2880.0,INR/Quintal
2019-05-05,Potato,Punjab,Amritsar,Amritsar Wholesale,2078.0,1704.0,2330.0,5850.0,INR/Quintal
2024-06-21,Pulses,Maharashtra,Pune,Pune Wholesale,4185.0,3432.0,4693.0,4203.0,INR/Quintal
2023-06-01,Coconut,Kerala,Ernakulam,Ernakulam Wholesale,1500.0,1230.0,1682.0,2504.0,INR/Quintal
2017-10-18,Coffee,Kerala,Kozhikode,Kozhikode Wholesale,18610.0,15262.0,20869.0,1697.0,INR/Quintal
2024-06-23,Sugarcane,Tamil Nadu,Coimbatore,Coimbatore Wholesale,429.0,352.0,481.0,1448.0,INR/Quintal
2022-02-26,Cotton,Gujarat,Ahmedabad,Ahmedabad Wholesale,5053.0,4144.0,5666.0,2665.0,INR/Quintal
2018-02-03,Oilseeds,Rajasthan,Jaipur,Jaipur Wholesale,3492.0,2864.0,3916.0,2521.0,INR/Quintal
2025-07-10,Pulses,Rajasthan,Udaipur,Udaipur Wholesale,7098.0,5821.0,7960.0,2411.0,INR/Quintal
2025-08-29,Sugarcane,Uttar Pradesh,Kanpur,Kanpur Wholesale,415.0,340.0,465.0,2713.0,INR/Quintal
2019-02-09,Coconut,Karnataka,Hubli,Hubli Wholesale,2625.0,2153.0,2944.0,1965.0,INR/Quintal
2016-12-03,Oilseeds,Maharashtra,Nashik,Nashik Wholesale,2071.0,1698.0,2322.0,1164.0,INR/Quintal
2021-09-15,Oilseeds,Gujarat,Rajkot,Rajkot Wholesale,2748.0,2254.0,3082.0,2926.0,INR/Quintal
2022-08-09,Rice,Odisha,Bhubaneswar,Bhubaneswar Wholesale,2059.0,1689.0,2309.0,1602.0,INR/Quintal
2019-04-29,Wheat,Madhya Pradesh,Bhopal,Bhopal Wholesale,1774.0,1455.0,1989.0,1073.0,INR/Quintal
2015-06-11,Oilseeds,Maharashtra,Nagpur,Nagpur Wholesale,4538.0,3722.0,5089.0,4596.0,INR/Quintal
2015-07-21,Maize,Andhra Pradesh,Visakhapatnam,Visakhapatnam Wholesale,2064.0,1693.0,2315.0,1463.0,INR/Quintal
2020-06-04,Wheat,Punjab,Amritsar,Amritsar Wholesale,2594.0,2127.0,2909.0,4186.0,INR/Quintal
2017-09-22,Pulses,Rajasthan,Jodhpur,Jodhpur Wholesale,3951.0,3240.0,4431.0,920.0,INR/Quintal
2021-05-06,Pulses,Uttar Pradesh,Varanasi,Varanasi Wholesale,5392.0,4422.0,6047.0,8095.0,INR/Quintal
2017-03-26,Pulses,Madhya Pradesh,Bhopal,Bhopal Wholesale,3766.0,3088.0,4223.0,1588.0,INR/Quintal
2024-02-25,Pulses,Uttar Pradesh,Varanasi,Varanasi Wholesale,4882.0,4004.0,5475.0,4516.0,INR/Quintal
2016-03-31,Maize,Madhya Pradesh,Bhopal,Bhopal Wholesale,1767.0,1449.0,1982.0,5010.0,INR/Quintal
2024-09-03,Coconut,Andhra Pradesh,Guntur,Guntur Wholesale,3137.0,2573.0,3518.0,1625.0,INR/Quintal
2025-05-26,Sugarcane,Tamil Nadu,Madurai,Madurai Wholesale,408.0,335.0,458.0,4302.0,INR/Quintal
2018-06-29,Tea,Assam,Cachar,Cachar Wholesale,8684.0,7122.0,9738.0,1540.0,INR/Quintal
2017-10-13,Coconut,Kerala,Ernakulam,Ernakulam Wholesale,3024.0,2480.0,3391.0,591.0,INR/Quintal
2025-05-01,Oilseeds,Madhya Pradesh,Bhopal,Bhopal Wholesale,4274.0,3505.0,4793.0,3058.0,INR/Quintal
2021-06-01,Pulses,Madhya Pradesh,Bhopal,Bhopal Wholesale,6864.0,5629.0,7697.0,3698.0,INR/Quintal
2025-05-24,Apple,Himachal Pradesh,Shimla,Shimla Wholesale,11379.0,9332.0,12760.0,1459.0,INR/Quintal
2022-07-30,Wheat,Haryana,Karnal,Karnal Wholesale,2452.0,2011.0,2750.0,3948.0,INR/Quintal
2025-06-17,Wheat,Haryana,Karnal,Karnal Wholesale,2324.0,1906.0,2606.0,4536.0,INR/Quintal
2015-12-04,Oilseeds,Maharashtra,Nagpur,Nagpur Wholesale,4372.0,3585.0,4903.0,3078.0,INR/Quintal
2017-05-28,Sugarcane,Karnataka,Mysore,Mysore Wholesale,343.0,281.0,385.0,4133.0,INR/Quintal
2017-12-12,Coffee,Karnataka,Belgaum,Belgaum Wholesale,12855.0,10542.0,14416.0,1834.0,INR/Quintal
2017-03-02,Coffee,Tamil Nadu,Chennai,Chennai Wholesale,17540.0,14384.0,19669.0,3148.0,INR/Quintal
2021-03-14,Tea,Kerala,Ernakulam,Ernakulam Wholesale,9915.0,8131.0,11119.0,2590.0,INR/Quintal
2017-02-02,Sugarcane,Maharashtra,Nagpur,Nagpur Wholesale,350.0,287.0,392.0,7187.0,INR/Quintal
2021-02-13,Oilseeds,Rajasthan,Udaipur,Udaipur Wholesale,4665.0,3826.0,5231.0,1823.0,INR/Quintal
2016-01-15,Coffee,Kerala,Thrissur,Thrissur Wholesale,17297.0,14185.0,19397.0,3089.0,INR/Quintal
2016-05-07,Coffee,Kerala,Ernakulam,Ernakulam Wholesale,9786.0,8025.0,10974.0,1343.0,INR/Quintal
2023-07-10,Coffee,Karnataka,Belgaum,Belgaum Wholesale,15446.0,12667.0,17321.0,1530.0,INR/Quintal
2018-03-26,Cotton,Gujarat,Surat,Surat Wholesale,5084.0,4169.0,5701.0,5332.0,INR/Quintal
2020-08-24,Apple,Jammu and Kashmir,Srinagar,Srinagar Wholesale,5634.0,4620.0,6318.0,1164.0,INR/Quintal
2025-08-20,Coconut,Kerala,Ernakulam,Ernakulam Wholesale,3285.0,2694.0,3684.0,1527.0,INR/Quintal
2015-03-06,Maize,Maharashtra,Pune,Pune Wholesale,1914.0,1570.0,2146.0,3393.0,INR/Quintal
2025-09-15,Oilseeds,Gujarat,Ahmedabad,Ahmedabad Wholesale,5184.0,4251.0,5813.0,3861.0,INR/Quintal
2022-01-12,Potato,Punjab,Patiala,Patiala Wholesale,616.0,505.0,691.0,1917.0,INR/Quintal
2018-09-29,Rice,Tamil Nadu,Chennai,Chennai Wholesale,1400.0,1148.0,1570.0,2882.0,INR/Quintal
2018-02-26,Coconut,Karnataka,Bangalore,Bangalore Wholesale,1577.0,1293.0,1768.0,4997.0,INR/Quintal
2020-07-20,Rice,Chhattisgarh,Raipur,Raipur Wholesale,1775.0,1456.0,1990.0,2146.0,INR/Quintal
2022-05-19,Sugarcane,Karnataka,Mysore,Mysore Wholesale,390.0,320.0,437.0,5957.0,INR/Quintal
2019-02-04,Oilseeds,Rajasthan,Udaipur,Udaipur Wholesale,3619.0,2968.0,4058.0,3331.0,INR/Quintal
2023-08-01,Oilseeds,Madhya Pradesh,Bhopal,Bhopal Wholesale,2760.0,2263.0,3095.0,1100.0,INR/Quintal
2018-03-08,Rice,Odisha,Bhubaneswar,Bhubaneswar Wholesale,2725.0,2235.0,3056.0,2446.0,INR/Quintal
2019-03-03,Tea,Assam,Dibrugarh,Dibrugarh Wholesale,14422.0,11827.0,16173.0,2350.0,INR/Quintal
2022-03-25,Rice,Tamil Nadu,Madurai,Madurai Wholesale,2600.0,2132.0,2916.0,913.0,INR/Quintal
2016-01-27,Oilseeds,Madhya Pradesh,Bhopal,Bhopal Wholesale,2337.0,1917.0,2621.0,4242.0,INR/Quintal
2019-08-26,Coffee,Tamil Nadu,Chennai,Chennai Wholesale,19877.0,16301.0,22290.0,677.0,INR/Quintal
2016-02-23,Tea,Assam,Tinsukia,Tinsukia Wholesale,15096.0,12380.0,16929.0,3678.0,INR/Quintal
2021-05-25,Pulses,Madhya Pradesh,Bhopal,Bhopal Wholesale,4256.0,3490.0,4773.0,3483.0,INR/Quintal
2016-01-14,Potato,Bihar,Gaya,Gaya Wholesale,1604.0,1315.0,1799.0,4941.0,INR/Quintal
2019-12-02,Cotton,Andhra Pradesh,Visakhapatnam,Visakhapatnam Wholesale,7309.0,5994.0,8196.0,3588.0,INR/Quintal
2024-10-01,Apple,Jammu and Kashmir,Srinagar,Srinagar Wholesale,7238.0,5936.0,8117.0,1114.0,INR/Quintal
2021-03-28,Maize,Maharashtra,Nashik,Nashik Wholesale,1798.0,1474.0,2016.0,3147.0,INR/Quintal
2023-05-24,Pulses,Rajasthan,Udaipur,Udaipur Wholesale,5500.0,4510.0,6168.0,3103.0,INR/Quintal
2020-09-19,Wheat,Rajasthan,Udaipur,Udaipur Wholesale,2314.0,1898.0,2595.0,1002.0,INR/Quintal
2023-06-27,Rice,Assam,Tinsukia,Tinsukia Wholesale,2234.0,1832.0,2505.0,3650.0,INR/Quintal
2020-12-22,Potato,Uttar Pradesh,Lucknow,Lucknow Wholesale,2179.0,1787.0,2444.0,1853.0,INR/Quintal
2015-07-20,Rice,Punjab,Ludhiana,Ludhiana Wholesale,2488.0,2040.0,2790.0,2449.0,INR/Quintal
2020-02-07,Apple,Jammu and Kashmir,Srinagar,Srinagar Wholesale,4837.0,3967.0,5424.0,1383.0,INR/Quintal
2017-02-18,Rice,Tamil Nadu,Coimbatore,Coimbatore Wholesale,2301.0,1887.0,2580.0,5531.0,INR/Quintal
2023-02-25,Pulses,Uttar Pradesh,Kanpur,Kanpur Wholesale,6282.0,5152.0,7045.0,7312.0,INR/Quintal
2023-07-02,Coffee,Kerala,Kozhikode,Kozhikode Wholesale,12006.0,9846.0,13464.0,985.0,INR/Quintal
2023-07-17,Coconut,Karnataka,Mysore,Mysore Wholesale,2129.0,1746.0,2387.0,1074.0,INR/Quintal
2016-05-17,Coffee,Tamil Nadu,Chennai,Chennai Wholesale,18461.0,15139.0,20702.0,2363.0,INR/Quintal
2021-09-20,Cotton,Maharashtra,Nashik,Nashik Wholesale,6728.0,5517.0,7545.0,2436.0,INR/Quintal
2024-12-24,Tea,West Bengal,Darjeeling,Darjeeling Wholesale,10927.0,8961.0,12254.0,3218.0,INR/Quintal
2019-10-18,Rice,Punjab,Amritsar,Amritsar Wholesale,1395.0,1144.0,1564.0,2699.0,INR/Quintal
2017-03-15,Sugarcane,Maharashtra,Nagpur,Nagpur Wholesale,400.0,328.0,449.0,5888.0,INR/Quintal
2020-11-16,Coffee,Kerala,Ernakulam,Ernakulam Wholesale,16758.0,13743.0,18792.0,1648.0,INR/Quintal
2022-06-24,Apple,Jammu and Kashmir,Srinagar,Srinagar Wholesale,5653.0,4636.0,6339.0,1903.0,INR/Quintal
2020-03-10,Oilseeds,Maharashtra,Nagpur,Nagpur Wholesale,4475.0,3670.0,5018.0,2830.0,INR/Quintal
2022-08-05,Coconut,Andhra Pradesh,Visakhapatnam,Visakhapatnam Wholesale,1376.0,1128.0,1543.0,2952.0,INR/Quintal
2019-04-20,Potato,Uttar Pradesh,Lucknow,Lucknow Wholesale,804.0,659.0,902.0,6144.0,INR/Quintal
2017-08-18,Sugarcane,Maharashtra,Pune,Pune Wholesale,405.0,332.0,454.0,1700.0,INR/Quintal
2025-06-07,Pulses,Rajasthan,Udaipur,Udaipur Wholesale,4141.0,3396.0,4644.0,1647.0,INR/Quintal
2022-04-14,Pulses,Maharashtra,Mumbai,Mumbai Wholesale,6828.0,5599.0,7657.0,3512.0,INR/Quintal
2019-01-25,Cotton,Telangana,Nizamabad,Nizamabad Wholesale,4958.0,4066.0,5560.0,1321.0,INR/Quintal
2022-05-14,Cotton,Andhra Pradesh,Visakhapatnam,Visakhapatnam Wholesale,7286.0,5975.0,8171.0,3654.0,INR/Quintal
2025-07-07,Tea,Assam,Dibrugarh,Dibrugarh Wholesale,11586.0,9501.0,12993.0,1523.0,INR/Quintal
2017-10-25,Coconut,Kerala,Kozhikode,Kozhikode Wholesale,1908.0,1565.0,2140.0,771.0,INR/Quintal
2024-01-03,Oilseeds,Maharashtra,Nagpur,Nagpur Wholesale,5454.0,4473.0,6116.0,3774.0,INR/Quintal
2016-05-17,Potato,West Bengal,Darjeeling,Darjeeling Wholesale,1287.0,1055.0,1443.0,3034.0,INR/Quintal
2022-09-15,Oilseeds,Madhya Pradesh,Bhopal,Bhopal Wholesale,5054.0,4145.0,5668.0,611.0,INR/Quintal
2016-02-02,Wheat,Punjab,Amritsar,Amritsar Wholesale,2065.0,1693.0,2316.0,2060.0,INR/Quintal
2017-05-20,Cotton,Gujarat,Surat,Surat Wholesale,6125.0,5023.0,6869.0,4711.0,INR/Quintal
2022-10-13,Tea,Kerala,Kozhikode,Kozhikode Wholesale,13729.0,11259.0,15396.0,2179.0,INR/Quintal
2016-01-28,Maize,Karnataka,Mysore,Mysore Wholesale,1862.0,1527.0,2088.0,5990.0,INR/Quintal
2015-07-26,Rice,Andhra Pradesh,Guntur,Guntur Wholesale,2231.0,1830.0,2502.0,909.0,INR/Quintal
2017-11-04,Rice,Punjab,Amritsar,Amritsar Wholesale,2733.0,2241.0,3065.0,1314.0,INR/Quintal
2020-02-25,Maize,Telangana,Hyderabad,Hyderabad Wholesale,2471.0,2026.0,2771.0,831.0,INR/Quintal
2024-12-04,Coffee,Tamil Nadu,Coimbatore,Coimbatore Wholesale,15106.0,12388.0,16940.0,3185.0,INR/Quintal
2023-01-18,Oilseeds,Madhya Pradesh,Bhopal,Bhopal Wholesale,4627.0,3794.0,5189.0,3038.0,INR/Quintal
2019-01-24,Maize,Bihar,Purnia,Purnia Wholesale,1441.0,1182.0,1616.0,2663.0,INR/Quintal
2025-04-20,Tea,Assam,Dibrugarh,Dibrugarh Wholesale,11164.0,9155.0,12519.0,4123.0,INR/Quintal
2024-12-25,Potato,Uttar Pradesh,Kanpur,Kanpur Wholesale,1420.0,1165.0,1592.0,5385.0,INR/Quintal
2017-05-13,Maize,Karnataka,Bangalore,Bangalore Wholesale,2157.0,1769.0,2419.0,6244.0,INR/Quintal
2022-08-22,Tea,Assam,Cachar,Cachar Wholesale,12262.0,10056.0,13751.0,664.0,INR/Quintal
2024-01-26,Cotton,Andhra Pradesh,Guntur,Guntur Wholesale,7865.0,6450.0,8820.0,1052.0,INR/Quintal
2016-07-17,Sugarcane,Karnataka,Mysore,Mysore Wholesale,312.0,256.0,350.0,1624.0,INR/Quintal
2017-10-17,Pulses,Rajasthan,Jodhpur,Jodhpur Wholesale,4657.0,3819.0,5222.0,303.0,INR/Quintal
2015-04-06,Pulses,Madhya Pradesh,Bhopal,Bhopal Wholesale,5704.0,4678.0,6396.0,4734.0,INR/Quintal
2020-04-07,Coconut,Tamil Nadu,Coimbatore,Coimbatore Wholesale,1666.0,1366.0,1868.0,2588.0,INR/Quintal
2019-10-24,Wheat,Haryana,Faridabad,Faridabad Wholesale,1715.0,1406.0,1923.0,3094.0,INR/Quintal
2021-12-07,Oilseeds,Madhya Pradesh,Bhopal,Bhopal Wholesale,3894.0,3193.0,4367.0,1545.0,INR/Quintal
2024-07-10,Potato,West Bengal,Kolkata,Kolkata Wholesale,1977.0,1621.0,2217.0,1502.0,INR/Quintal
2021-03-28,Sugarcane,Tamil Nadu,Coimbatore,Coimbatore Wholesale,434.0,356.0,487.0,1695.0,INR/Quintal
2022-08-28,Sugarcane,Karnataka,Bangalore,Bangalore Wholesale,446.0,366.0,500.0,1581.0,INR/Quintal
2019-08-06,Cotton,Maharashtra,Nagpur,Nagpur Wholesale,6731.0,5520.0,7548.0,3146.0,INR/Quintal
2023-11-17,Maize,Maharashtra,Pune,Pune Wholesale,1803.0,1479.0,2022.0,5384.0,INR/Quintal
2016-06-24,Oilseeds,Gujarat,Vadodara,Vadodara Wholesale,4383.0,3594.0,4915.0,3614.0,INR/Quintal
2017-11-25,Rice,Punjab,Ludhiana,Ludhiana Wholesale,1385.0,1136.0,1553.0,3694.0,INR/Quintal
2022-01-16,Sugarcane,Karnataka,Bangalore,Bangalore Wholesale,435.0,357.0,488.0,833.0,INR/Quintal
2018-03-29,Tea,West Bengal,Kolkata,Kolkata Wholesale,15121.0,12400.0,16957.0,6121.0,INR/Quintal
2025-09-15,Rice,Assam,Tinsukia,Tinsukia Wholesale,3454.0,2833.0,3873.0,393.0,INR/Quintal
2019-09-19,Wheat,Madhya Pradesh,Bhopal,Bhopal Wholesale,2567.0,2105.0,2879.0,2564.0,INR/Quintal
2024-01-28,Maize,Telangana,Warangal,Warangal Wholesale,2441.0,2002.0,2737.0,3026.0,INR/Quintal
2023-08-24,Maize,Karnataka,Hubli,Hubli Wholesale,1933.0,1585.0,2168.0,1024.0,INR/Quintal
2019-12-25,Potato,West Bengal,Kolkata,Kolkata Wholesale,765.0,627.0,858.0,2786.0,INR/Quintal
